NKChart,,,,,,,,,
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k,X of LawCompN [Wavelength (nm)],LawCompN - n,X of LawCompK [Wavelength (nm)],LawCompK - k
913.3066409,2.128711591,913.3066409,0.01417873796,,,,,,
912.5235375,2.128991093,912.5235375,0.014198931,,,,,,
911.740434,2.129270649,911.740434,0.01421919164,,,,,,
910.9573306,2.129550261,910.9573306,0.0142395202,,,,,,
910.1742271,2.129829931,910.1742271,0.01425991702,,,,,,
909.3911236,2.130109658,909.3911236,0.01428038242,,,,,,
908.6080202,2.130389444,908.6080202,0.01430091676,,,,,,
907.8249167,2.130669291,907.8249167,0.01432152037,,,,,,
907.0418133,2.130949198,907.0418133,0.01434219358,,,,,,
906.2587098,2.131229168,906.2587098,0.01436293675,,,,,,
905.4756064,2.131509201,905.4756064,0.01438375022,,,,,,
904.6925029,2.131789298,904.6925029,0.01440463433,,,,,,
903.9093994,2.13206946,903.9093994,0.01442558945,,,,,,
903.126296,2.132349689,903.126296,0.01444661591,,,,,,
902.3431925,2.132629986,902.3431925,0.01446771409,,,,,,
901.5600891,2.132910351,901.5600891,0.01448888432,,,,,,
900.7769856,2.133190785,900.7769856,0.01451012698,,,,,,
899.9938821,2.133471291,899.9938821,0.01453144243,,,,,,
899.2107787,2.133751868,899.2107787,0.01455283102,,,,,,
898.4276752,2.134032518,898.4276752,0.01457429314,,,,,,
897.6445718,2.134313242,897.6445718,0.01459582914,,,,,,
896.8614683,2.134594042,896.8614683,0.0146174394,,,,,,
896.0783648,2.134874917,896.0783648,0.0146391243,,,,,,
895.2952614,2.13515587,895.2952614,0.0146608842,,,,,,
894.5121579,2.135436902,894.5121579,0.0146827195,,,,,,
893.7290545,2.135718013,893.7290545,0.01470463057,,,,,,
892.945951,2.135999205,892.945951,0.01472661779,,,,,,
892.1628475,2.136280479,892.1628475,0.01474868156,,,,,,
891.3797441,2.136561837,891.3797441,0.01477082226,,,,,,
890.5966406,2.136843278,890.5966406,0.01479304029,,,,,,
889.8135372,2.137124805,889.8135372,0.01481533604,,,,,,
889.0304337,2.137406419,889.0304337,0.01483770991,,,,,,
888.2473302,2.13768812,888.2473302,0.0148601623,,,,,,
887.4642268,2.13796991,887.4642268,0.0148826936,,,,,,
886.6811233,2.138251791,886.6811233,0.01490530424,,,,,,
885.8980199,2.138533763,885.8980199,0.01492799461,,,,,,
885.1149164,2.138815827,885.1149164,0.01495076513,,,,,,
884.331813,2.139097985,884.331813,0.01497361621,,,,,,
883.5487095,2.139380238,883.5487095,0.01499654827,,,,,,
882.765606,2.139662587,882.765606,0.01501956173,,,,,,
881.9825026,2.139945034,881.9825026,0.01504265701,,,,,,
881.1993991,2.140227579,881.1993991,0.01506583454,,,,,,
880.4162957,2.140510224,880.4162957,0.01508909474,,,,,,
879.6331922,2.140792971,879.6331922,0.01511243804,,,,,,
878.8500887,2.141075819,878.8500887,0.01513586489,,,,,,
878.0669853,2.141358771,878.0669853,0.01515937572,,,,,,
877.2838818,2.141641828,877.2838818,0.01518297096,,,,,,
876.5007784,2.141924992,876.5007784,0.01520665106,,,,,,
875.7176749,2.142208262,875.7176749,0.01523041648,,,,,,
874.9345714,2.142491642,874.9345714,0.01525426765,,,,,,
874.151468,2.142775131,874.151468,0.01527820503,,,,,,
873.3683645,2.143058732,873.3683645,0.01530222908,,,,,,
872.5852611,2.143342445,872.5852611,0.01532634025,,,,,,
